Wall time,Step,Value
1708037908.1203003,0,1500.0
1708037926.6165824,1,1500.0
1708037946.2715213,2,1500.0
1708037966.0487316,3,1500.0
1708037984.5422971,4,1500.0
1708038003.7139971,5,1500.0
1708038023.2198064,6,1500.0
1708038043.8783495,7,1500.0
1708038064.9188566,8,1500.0
1708038086.8097425,9,1500.0
1708038107.7299607,10,1500.0
1708038128.728523,11,1500.0
1708038149.82446,12,1500.0
1708038171.4783897,13,1500.0
1708038192.227507,14,1500.0
1708038213.2322125,15,1500.0
1708038234.3655653,16,1500.0
1708038256.0083387,17,1500.0
1708038277.3711276,18,1500.0
1708038298.422538,19,1500.0
1708038319.1880758,20,1500.0
1708038340.385155,21,1500.0
1708038362.0777886,22,1500.0
1708038383.1496713,23,1500.0
1708038404.1424408,24,1500.0
1708038425.34142,25,1500.0
1708038447.3017123,26,1500.0
1708038468.3763638,27,1500.0
1708038489.3432045,28,1500.0
1708038510.6142118,29,1500.0
1708038532.3408403,30,1500.0
1708038553.4242806,31,1500.0
1708038574.4871597,32,1500.0
1708038595.7080224,33,1500.0
1708038617.490216,34,1500.0
1708038638.507229,35,1500.0
1708038659.5017033,36,1500.0
1708038680.6956346,37,1500.0
1708038702.4682884,38,1500.0
1708038723.54513,39,1500.0
1708038744.6304245,40,1500.0
1708038765.8452404,41,1500.0
1708038787.6819975,42,1500.0
1708038808.6964989,43,1500.0
1708038829.7384286,44,1500.0
1708038851.065978,45,1500.0
1708038872.6487486,46,1500.0
1708038893.7020123,47,1500.0
1708038914.749941,48,1500.0
1708038936.0422065,49,1500.0
1708038957.749047,50,1500.0
1708038978.8117902,51,1500.0
1708038999.8173954,52,1500.0
1708039021.3112295,53,1500.0
1708039042.8990095,54,1500.0
1708039064.0037735,55,1500.0
1708039085.058341,56,1500.0
1708039106.2495155,57,1500.0
1708039127.9351976,58,1500.0
1708039148.9475327,59,1500.0
1708039169.9553707,60,1500.0
1708039191.1879117,61,1500.0
1708039212.9361832,62,1500.0
1708039234.002303,63,1500.0
1708039255.1545403,64,1500.0
1708039276.3093057,65,1500.0
1708039298.0227852,66,1500.0
1708039318.9232955,67,1500.0
1708039339.818315,68,1500.0
1708039360.975684,69,1500.0
1708039382.486651,70,1500.0
1708039403.2402058,71,1500.0
1708039424.1163402,72,1500.0
1708039444.9831042,73,1500.0
1708039466.0044317,74,1500.0
1708039487.3555033,75,1500.0
1708039508.2849047,76,1500.0
1708039529.1538892,77,1500.0
1708039549.9312458,78,1500.0
1708039571.020212,79,1500.0
1708039592.5566468,80,1500.0
1708039613.3854096,81,1500.0
1708039634.2227056,82,1500.0
1708039654.9905288,83,1500.0
1708039676.1304193,84,1500.0
1708039697.4124699,85,1500.0
1708039718.3437922,86,1500.0
1708039739.122,87,1500.0
1708039759.8586965,88,1500.0
1708039780.5347707,89,1500.0
1708039801.4077692,90,1500.0
1708039822.7871392,91,1500.0
1708039843.4606838,92,1500.0
1708039864.1862037,93,1500.0
1708039884.763965,94,1500.0
1708039905.4492714,95,1500.0
1708039926.4418414,96,1500.0
1708039947.8681252,97,1500.0
1708039968.7069852,98,1500.0
1708039989.5804927,99,1500.0
1708040010.4023592,100,1500.0
1708040031.4517543,101,1500.0
1708040052.867796,102,1500.0
1708040073.7372687,103,1500.0
1708040094.426359,104,1500.0
1708040115.010392,105,1500.0
1708040135.8163776,106,1500.0
1708040156.8426836,107,1500.0
1708040178.5477264,108,1500.0
1708040199.309185,109,1500.0
1708040220.0145187,110,1500.0
1708040240.7873428,111,1500.0
1708040261.6922634,112,1500.0
1708040282.9672258,113,1500.0
1708040303.9115005,114,1500.0
1708040324.6355014,115,1500.0
1708040345.2345588,116,1500.0
1708040365.976072,117,1500.0
1708040386.8610353,118,1500.0
1708040408.1356945,119,1500.0
1708040428.9583306,120,1500.0
1708040449.5255077,121,1500.0
1708040470.1373138,122,1500.0
1708040490.8491888,123,1500.0
1708040511.859966,124,1500.0
1708040533.241553,125,1500.0
1708040554.1002567,126,1500.0
1708040574.7918594,127,1500.0
1708040595.414453,128,1500.0
1708040616.022168,129,1500.0
1708040636.9355295,130,1500.0
1708040658.5206583,131,1500.0
1708040679.2692852,132,1500.0
1708040699.9142842,133,1500.0
1708040720.433425,134,1500.0
1708040741.0726936,135,1500.0
1708040762.078213,136,1500.0
1708040783.5191386,137,1500.0
1708040804.2561285,138,1500.0
1708040824.889538,139,1500.0
1708040845.4404447,140,1500.0
1708040866.094626,141,1500.0
1708040886.9744928,142,1500.0
1708040908.2846084,143,1500.0
1708040929.3024101,144,1500.0
1708040949.7753892,145,1500.0
1708040970.3822896,146,1500.0
1708040990.888701,147,1500.0
1708041011.590802,148,1500.0
1708041032.5306814,149,1500.0
1708041053.7342458,150,1500.0
1708041074.424827,151,1500.0
1708041094.9040675,152,1500.0
1708041115.4709527,153,1500.0
1708041136.0082567,154,1500.0
1708041156.6023707,155,1500.0
1708041177.4005005,156,1500.0
